ID,AREA_DESC,ROADNAME,Area,TOTAL_SPACES,DIPPED_FOOTPATH,PARK_SIGN,ROAD_MARKING,OCCUPIED,Adjacent_Services,LAT,LONG
450,"Blanchardstown Retail Park, PC World",NA,,2,TRUE,TRUE,TRUE, ,Retail Park,53.3947863857468,-6.38892419783825
451,"Blanchardstown Retail Park, Currys",NA,,2,TRUE,TRUE,TRUE, ,Retail Park,53.3939283801593,-6.38750748033835
452,"Blanchardstown Retail Park, Currys",NA,,2,TRUE,TRUE,TRUE, ,Retail Park,53.3939065487392,-6.38746929812444
453,Castleknock Community College,NA,,1, , ,TRUE, ,Secondary School,53.3722274088886,-6.3901994002253
454,Outside Spar,Carpenterstown Road,,2, , ,TRUE, ,"Chemist, Supermarket, Takeaway, Video Shop",53.3723121134764,-6.38932724421921
455,Outside Spar,Carpenterstown Road,,2, , ,TRUE, ,"Chemist, Supermarket, Takeaway, Pub, Video Shop",53.3723307589419,-6.38934323169846
456,"Blanchardstown Retail Park, AIB",NA,,1, , ,TRUE,TRUE,Retail Park,53.3897042063855,-6.38943763999335
457,"Blanchardstown Retail Park, Burtons",WESTEND RETAIL PARK,,3,TRUE,TRUE,TRUE, ,Retail Park,53.3903606763994,-6.38731276439865
458,"Blanchardstown Retail Park, Burtons",WESTEND RETAIL PARK,,3,TRUE,TRUE,TRUE, ,Retail Park,53.3903728689964,-6.38728226761048
459,"Blanchardstown Retail Park, Burtons",WESTEND RETAIL PARK,,3,TRUE,TRUE,TRUE,TRUE,Retail Park,53.3903885941921,-6.38725046750746
460,"Blanchardstown Retail Park, Pavers",WESTEND RETAIL PARK,,5,TRUE,TRUE,TRUE, ,Retail Park,53.3903304302639,-6.38739751558403
461,"Blanchardstown Retail Park, Pavers",WESTEND RETAIL PARK,,5,TRUE,TRUE,TRUE, ,Retail Park,53.3903173005913,-6.38743130134743
462,"Blanchardstown Retail Park, Pavers",WESTEND RETAIL PARK,,5,TRUE,TRUE,TRUE, ,Retail Park,53.3903042883999,-6.38746832874527
463,"Blanchardstown Retail Park, Tjs",WESTEND RETAIL PARK,,5,TRUE,TRUE,TRUE, ,Retail Park,53.3902898135634,-6.38750080914112
